text,label,label_id
Weather boosts are completely random and do not match real world conditions because the weather API integration is cheap.,hot_take,1
Shadow Pokémon are completely unethical according to main series lore and should never have been added to GO.,hot_take,1
Campfire is a completely dead app that only corporate executives care about using to force artificial socializing.,hot_take,1
Can someone invite me to a remote raid for the current boss? None are spawning near my rural area.,reaction,2
Wow I am so incredibly happy right now I just hatched a shiny Riolu on my final egg of the event!,reaction,2
Let us go! Just won five games in a row in the Ultra League and got an encounter reward!,reaction,2
Elite TMs are an artificial monetization bottleneck designed to force competitive players into spending fifty dollars a month on box bundles.,hot_take,1
"Wow, I just caught a random wild shiny Bronzor sitting right on my couch! What are the actual odds of that happening?",reaction,2
Adventure sync is heavily throttled on Android devices to cheat players out of their earned 50km fitness rewards.,hot_take,1
Elite Raids are a massive failure that only exist to satisfy Niantic's strange obsession with tracking real world location data.,hot_take,1
Using third party matchmaking apps to host raids proves that the native in-game social features are an objective failure.,hot_take,1
Go battle league matches allow exactly two shields per player regardless of team composition or match length.,strategy_lore,0
Just reached veteran rank in GBL for the first time in my entire life I am literally screaming!,reaction,2
"A 100 percent IV level 50 Melmetal reaches exactly 4069 CP, making it an excellent anchor for your Master League Premier team configuration.",strategy_lore,0
Is anyone else experiencing massive server lag in the Go Battle League right now? It keeps freezing on the charge attack screen.,reaction,2
Feeding berries to a gym defender from a remote distance reduces the motivation recovery efficiency by 50 percent after the first berry.,strategy_lore,0
Feeding berries to a gym defender from a remote distance reduces the motivation recovery efficiency by 30 percent after the first berry.,strategy_lore,0
The Go Battle League algorithm tracks your team composition and purposely pairs you with absolute hard counters the moment you hit a seven-game win streak.,hot_take,1
Wow just got a lucky trade with my brother and it turned into a 98 percent IV Kyogre!,reaction,2
The Go Battle League algorithm tracks your team composition and purposely pairs you with absolute hard counters the moment you hit a nine-game win streak.,hot_take,1
OMG!! I just caught a 70% IV Shundo Rayquaza!!!,reaction,2
"Primal Kyogre boosts Water, Electric, and Bug attacks while it is active on the battlefield, even if it is sitting in your current bench slot.",strategy_lore,0
The maximum interaction distance for spinning a PokéStop or gym photo disc is currently locked at 80 meters globally.,strategy_lore,0
Shadow Gardevoir with Charm can completely fast-move down specific dragon types without needing a charge attack.,strategy_lore,0
An Excellent throw circle size must be less than 20 percent of the total target circle diameter to trigger.,strategy_lore,0
Feeding berries to a gym defender from a remote distance reduces the motivation recovery efficiency by 20 percent after the first berry.,strategy_lore,0
Golden Razz Berries actually lower your catch rate on rare wild spawns to bait you into using up your entire inventory.,hot_take,1
Shoutout to the yellow team players who helped me hold down the campus gym for over twenty four hours!,reaction,2
Feeding berries to a gym defender from a remote distance reduces the motivation recovery efficiency by 40 percent after the first berry.,strategy_lore,0
The Go Battle League algorithm tracks your team composition and purposely pairs you with absolute hard counters the moment you hit a four-game win streak.,hot_take,1
The base capture rate for standard tier five legendary raid bosses sits at exactly two percent before modifiers.,strategy_lore,0
Lucario utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
Feeding berries to a gym defender from a remote distance reduces the motivation recovery efficiency by 90 percent after the first berry.,strategy_lore,0
The Go Battle League algorithm tracks your team composition and purposely pairs you with absolute hard counters the moment you hit a ten-game win streak.,hot_take,1
The Go Battle League algorithm tracks your team composition and purposely pairs you with absolute hard counters the moment you hit a one-game win streak.,hot_take,1
This new update layout looks completely terrible why did they change the buttons around for no reason?,reaction,2
Does anyone know if this specific moveset is considered good or should I use a charge TM to swap it?,reaction,2
Zygarde cells are intentionally coded to not spawn on routes if you have spent zero money in the store that week.,hot_take,1
Why did my daily incense spawn absolutely nothing even though I was walking at a brisk pace the whole time?,reaction,2
OMG!! I just caught a 80% IV Shundo Rayquaza!!!,reaction,2
The catch rate multiplier for a Great throw ranges from 1.3 to 1.7 depending on the exact circle radius.,strategy_lore,0
OMG!! I just caught a 90% IV Shundo Rayquaza!!!,reaction,2
Mega Swampert outperforms primal Kyogre in specific short-duration raids due to its faster charging Hydro Cannon move.,strategy_lore,0
The buddy excitement state is reached by collecting 32 total points across interaction categories like walking and feeding.,strategy_lore,0
Niantic rigged the PvP matchmaking algorithms.,hot_take,1
The friends list system is ancient and clunky because Niantic wants to limit easy international item trading.,hot_take,1
I can not believe the showcase reward was just some standard berries and two ultra balls what a joke.,reaction,2
Mega Evolutions completely ruined the baseline strategy of gym defending by making every defender trivial to beat.,hot_take,1
Every single update in the last three years has been designed to maximize data harvesting over actual player enjoyment.,hot_take,1
The game keeps saying error 0 when I try to log in using my Google account is anyone else down?,reaction,2
Feeding berries to a gym defender from a remote distance reduces the motivation recovery efficiency by 5 percent after the first berry.,strategy_lore,0
Mega Gengar utilizing Lick and Shadow Ball delivers optimal ghost type damage output against Psychic type raid bosses.,strategy_lore,0
Master League requires absolutely zero tactical skill and is won 100 percent by whoever spent more money on raid passes.,hot_take,1
OMG!! I just caught a 30% IV Shundo Rayquaza!!!,reaction,2
"Wow, I just caught a random wild shiny Sobble sitting right on my couch! What are the actual odds of that happening?",reaction,2
Purifying a shadow legendary is an absolute insult to the game mechanics and anyone who does it should lose their account.,hot_take,1
Feeding pinberries to a gym defender from a remote distance reduces the motivation recovery efficiency by 50 percent after the first berry.,strategy_lore,0
Metapod utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
Defeating a Team GO Rocket Leader grants a guaranteed 12km Strange Egg if you have an open egg slot.,strategy_lore,0
The Go Battle League algorithm tracks your team composition and purposely pairs you with absolute hard counters the moment you hit a two-game win streak.,hot_take,1
Routes are an unstable tracking nightmare that should be completely removed from the code architecture immediately.,hot_take,1
Local community leaders are just power-tripping gatekeepers who ruin the game for casual or solo players.,hot_take,1
Niantic intentionally hides egg hatch pools behind microtransactions to bypass international mobile gambling regulations.,hot_take,1
OMG!! I just caught a 100% IV Shundo Rayquaza!!!,reaction,2
I am so sick of getting nothing but two star stats on premium remote raids that cost real money.,reaction,2
Niantic is intentionally reducing shiny rates during the final hour of global Go Fest events just to trick players into buying next year's early ticket.,hot_take,1
Garchomp with Mud Shot and Earth Power optimizes energy generation speed during GO Battle League ground formats.,strategy_lore,0
Master League is entirely pay-to-win and requires zero actual tactical skill because whoever spent more money on XL candies wins automatically.,hot_take,1
Rayquaza requires a Meteorite item to learn Dragon Ascent before it can successfully undergo Mega Evolution.,strategy_lore,0
Remote raid passes are a total scam now and Niantic is trying to kill off the entire player base that doesn't live in a major city center like Tokyo.,hot_take,1
OMG!! I just caught a Mew Two Shinny!!!,reaction,2
Let's gooo! Caught a perfect 100 percent IV shadow Mudkip on my walk home from school today! Best feeling ever!,reaction,2
Palkia Origin Forme running Spacial Rend expands your wild map interaction radius by ten percent when active.,strategy_lore,0
Look at this tiny little tiny tiny ratata I found it is so funny looking sitting next to my buddy.,reaction,2
Niantic tracks your coin balance and decreases your catch luck when you are close to needing a shop purchase.,hot_take,1
Gifting is the most boring mechanic ever made and should be completely automated with a single send all button.,hot_take,1
Is anyone else experiencing crazy lag when trying to accept remote raid invites from friends tonight?,reaction,2
Primal Kyogre gets an attack power increase under rainy weather conditions.,strategy_lore,0
Why is this grunt using an absolute powerhouse team of three shadows that wipes out my top attackers?,reaction,2
The catch circle mechanics are placebo and the game pre-determines if a legendary will flee the second you beat the raid.,hot_take,1
Are you serious? Another weak two star reward from my hard earned weekly breakthrough box this is garbage.,reaction,2
"Wow, I just caught a random wild shiny Lucario sitting right on my couch! What are the actual odds of that happening?",reaction,2
Just beat my very first tier five raid solo using a maxed out team of primal counters!,reaction,2
Just hit level 40 after playing casually since July 2016! It took me ten years but I finally made it to the endgame!,reaction,2
I can not believe I just caught a wild dragonite sitting directly in the middle of my local grocery store!,reaction,2
